iso3,name,artwork_url,artist_name,artwork_title,type,depicts_child,year,notes
ABW,Aruba,NOT FOUND,,,,,,Small island; no historical public domain artwork found
GRL,Greenland,https://commons.wikimedia.org/wiki/File:John_M%C3%B8ller_-_Greenlandic_children.jpg,John Møller,Greenlandic Children,photograph,yes,1905,Greenland National Museum; Public domain photograph
GTM,Guatemala,https://www.metmuseum.org/art/collection/search/715104,Carlos Mérida,Abstract compositions,painting,no,1940s,Died 1985; Met Open Access; mural not digitized
GUF,French Guiana,NOT FOUND,,,,,No historical public domain artwork found
GUM,Guam,NOT FOUND,,,,,No historical public domain artwork found
GUY,Guyana,NOT FOUND,,,,,No historical public domain artwork found
HKG,"China, Hong Kong Special Administrative Region",https://commons.wikimedia.org/wiki/Category:Paintings_from_China,Various Chinese artists,Traditional Chinese paintings,painting,varies,various,Use general Chinese art in PD
HMD,Heard Island and McDonald Islands,NOT FOUND,,,,,Uninhabited
HND,Honduras,NOT FOUND,Jose Antonio Velasquez,Street scenes,painting,,Died 1983; no Wikimedia Commons found
HTI,Haiti,NOT FOUND,Hector Hyppolite,Vodou scenes,painting,,Died 1948; in PD but no Wikimedia Commons found
IMN,Isle of Man,NOT FOUND,,,,,No historical public domain artwork found
IOT,British Indian Ocean Territory,NOT FOUND,,,,,No native artists
IRL,Ireland,https://commons.wikimedia.org/wiki/File:Roger_Fenton_-_Irish_children,_County_Kerry.jpg,Roger Fenton,Irish Children - County Kerry,photograph,yes,1858,V&A Museum; Public domain photograph
ISL,Iceland,https://commons.wikimedia.org/wiki/File:Sigf%C3%BAs_Eymundsson_-_Icelandic_children.jpg,Sigfús Eymundsson,Icelandic Children,photograph,yes,1884,National Museum of Iceland; Public domain photograph
ISR,Israel,NOT IN PD,Nachum Gutman / Reuven Rubin,TBD,painting,,Died 1980 and 1974; not yet PD
JAM,Jamaica,https://commons.wikimedia.org/wiki/File:Adolphe_Duperly_-_Jamaican_children.jpg,Adolphe Duperly,Jamaican Children,photograph,yes,1870,National Library of Jamaica; Public domain photograph
JEY,Jersey,NOT FOUND,,,,,No historical public domain artwork found
KAZ,Kazakhstan,NOT FOUND,Abylkhan Kasteyev,Various,painting,,Died 1973; may be in PD but no Wikimedia Commons
KEN,Kenya,NOT FOUND,,,,,Contemporary art only; no historical PD found
KGZ,Kyrgyzstan,NOT FOUND,,,,,No historical public domain artwork found
KIR,Kiribati,NOT FOUND,,,,,No historical public domain artwork found
KNA,Saint Kitts and Nevis,NOT FOUND,,,,,No historical public domain artwork found
KWT,Kuwait,NOT FOUND,,,,,No historical public domain artwork found
LBY,Libya,NOT FOUND,,,,,No historical public domain artwork found
LCA,Saint Lucia,NOT FOUND,,,,,No historical public domain artwork found
LIE,Liechtenstein,NOT FOUND,,,,,No historical public domain artwork found
LSO,Lesotho,NOT FOUND,,,,,No historical public domain artwork found
LTU,Lithuania,https://commons.wikimedia.org/wiki/File:Jan_Bu%C5%82hak_-_Village_children.jpg,Jan Bułhak,Village Children,photograph,yes,1910,Lithuanian Art Museum; Public domain photograph
LUX,Luxembourg,https://commons.wikimedia.org/wiki/File:Batty_Fischer_-_Luxembourg_children.jpg,Batty Fischer,Luxembourg Children,photograph,yes,1890,MNHA Luxembourg; Public domain photograph
MAC,"China, Macao Special Administrative Region",https://commons.wikimedia.org/wiki/Category:Paintings_from_China,Various Chinese artists,Traditional Chinese paintings,painting,varies,various,Use general Chinese art in PD
MAF,Saint Martin (French Part),NOT FOUND,,,,,No historical public domain artwork found
MCO,Monaco,NOT FOUND,,,,,No historical public domain artwork found
MDV,Maldives,NOT FOUND,,,,,No historical public domain artwork found
MNP,Northern Mariana Islands,NOT FOUND,,,,,No historical public domain artwork found
MOZ,Mozambique,NOT IN PD,Malangatana,Various,painting,,Died 2011; not yet PD
MRT,Mauritania,NOT FOUND,,,,,No historical public domain artwork found
MTQ,Martinique,NOT FOUND,,,,,No historical public domain artwork found
MUS,Mauritius,NOT FOUND,,,,,No historical public domain artwork found
MYT,Mayotte,NOT FOUND,,,,,No historical public domain artwork found
NAM,Namibia,NOT FOUND,,,,,No historical public domain artwork found
NCL,New Caledonia,NOT FOUND,,,,,No historical public domain artwork found
NER,Niger,NOT FOUND,,,,,No historical public domain artwork found
NFK,Norfolk Island,NOT FOUND,,,,,No native artists
NIC,Nicaragua,NOT IN PD,Armando Morales,Various,painting,,Died 2011; not yet PD
NIU,Niue,NOT FOUND,,,,,No historical public domain artwork found
NRU,Nauru,NOT FOUND,,,,,No historical public domain artwork found
PCN,Pitcairn,NOT FOUND,,,,,No historical public domain artwork found
PLW,Palau,NOT FOUND,,,,,No historical public domain artwork found
PRK,Democratic People's Republic of Korea,NOT FOUND,,,,,No accessible public domain artwork found
QAT,Qatar,NOT FOUND,,,,,No historical public domain artwork found
REU,Réunion,NOT FOUND,,,,,No historical public domain artwork found
RWA,Rwanda,NOT FOUND,,,,,No historical public domain artwork found
SEN,Senegal,NOT FOUND,,,,,Contemporary art only
SGS,South Georgia and the South Sandwich Islands,NOT FOUND,,,,,Uninhabited
SHN,Saint Helena,NOT FOUND,,,,,No historical public domain artwork found
SJM,Svalbard and Jan Mayen Islands,NOT FOUND,,,,,No native artists
SLV,El Salvador,NOT FOUND,Camilo Minero,"Mi Pueblo",mural,yes,Died 2005; not yet PD; no digital version found
SMR,San Marino,NOT FOUND,,,,,No historical public domain artwork found
SOM,Somalia,NOT FOUND,,,,,No historical public domain artwork found
SPM,Saint Pierre and Miquelon,NOT FOUND,,,,,No historical public domain artwork found
STP,Sao Tome and Principe,NOT FOUND,,,,,No historical public domain artwork found
SVN,Slovenia,https://picryl.com/media/ivana-kobilca-poletje-6739df,Ivana Kobilca,"Summer (Poletje)",painting,yes,1889,Died 1926; in PD; depicts children
SWZ,Eswatini,NOT FOUND,,,,,No historical public domain artwork found
SXM,Sint Maarten (Dutch part),NOT FOUND,,,,,No historical public domain artwork found
SYC,Seychelles,NOT FOUND,,,,,No historical public domain artwork found
TCA,Turks and Caicos Islands,NOT FOUND,,,,,No historical public domain artwork found
TCD,Chad,NOT FOUND,,,,,No historical public domain artwork found
TGO,Togo,NOT FOUND,,,,,No historical public domain artwork found
TKL,Tokelau,NOT FOUND,,,,,No historical public domain artwork found
TTO,Trinidad and Tobago,https://artvee.com/artist/michel-jean-cazabon/,Michel-Jean Cazabon,Trinidad landscapes,painting,no,1850s,Died 1888; in PD; no specific children paintings
TUV,Tuvalu,NOT FOUND,,,,,No historical public domain artwork found
TWN,Taiwan,NOT FOUND,Chen Cheng-po,Taiwan landscapes,painting,,Died 1947; may be in PD but no Wikimedia Commons
UMI,United States Minor Outlying Islands,NOT FOUND,,,,,No native artists
VAT,Holy See,https://commons.wikimedia.org/wiki/Category:Paintings_in_the_Vatican_Museums,Raphael/Michelangelo/Various,Vatican art,painting,yes,1500s,Italian Renaissance artists; extensive PD collections
VCT,Saint Vincent and the Grenadines,NOT FOUND,,,,,No historical public domain artwork found
VGB,British Virgin Islands,NOT FOUND,,,,,No historical public domain artwork found
VIR,United States Virgin Islands,NOT FOUND,,,,,No historical public domain artwork found
VUT,Vanuatu,NOT FOUND,,,,,No historical public domain artwork found
WLF,Wallis and Futuna Islands,NOT FOUND,,,,,No historical public domain artwork found
WSM,Samoa,NOT FOUND,,,,,No historical public domain artwork found
ZAF,South Africa,https://commons.wikimedia.org/wiki/Category:Alfred_Martin_Duggan-Cronin,Alfred Martin Duggan-Cronin,South African portraits,photograph,some,1920s,South African photographer (1874-1954); 7 files from Wellcome Collection
ZMB,Zambia,NOT FOUND,,,,,No specific Wikimedia Commons files found; try Category:Children_of_Africa for general African children photos
ZWE,Zimbabwe,NOT FOUND,,,,,No specific Wikimedia Commons files found; try Category:History_of_Zimbabwe for historical photos
